team,player,position,status,injury,source
ATL,N'Faly Dante,C,Out,Dec 5: Dante (concussion) won't play Friday against the Nuggets.,ESPN
ATL,Jacob Toppin,F,Out,Dec 4: Toppin (shoulder) has been ruled out for Friday's game against the Nuggets.,ESPN
ATL,Trae Young,G,Out,"Nov 29: Young (knee) will be re-evaluated by the Hawks' medical staff in two weeks, Ohm Youngmisuk of ESPN.com reports.",ESPN
BOS,Jayson Tatum,F,Out,"Oct 9: The Celtics have not ruled Tatum (Achilles) out for the 2025-26 season, ESPN's Shams Charania reported on the Pat McAfee Show on Thursday.",ESPN
BKN,Noah Clowney,F,Day-To-Day,"Dec 5: Clowney (back) is probable for Saturday's game against the Pelicans, Brian Lewis of the New York Post reports.",ESPN
BKN,Cam Thomas,G,Out,"Nov 7: Thomas has been diagnosed with a left hamstring strain and he will be re-evaluated in 3-4 weeks, Marc J. Spears of ESPN.com reports.",ESPN
BKN,Haywood Highsmith,F,Out,"Oct 19: Highsmith (knee) experienced swelling during rehab and will re-evaluated in eight weeks, Brett Siegel of ClutchPoints.com reports.",ESPN
CHA,LaMelo Ball,G,Day-To-Day,Dec 5: Ball won't return to Friday's game against the Raptors due to left ankle soreness.,ESPN
CHA,Tre Mann,G,Out,Dec 5: Mann (ankle) has been ruled out for Friday's game in Toronto.,ESPN
CHA,Josh Green,G,Out,Dec 5: Charlotte recalled Green (shoulder) from the G League's Greensboro Swarm on Friday.,ESPN
CHA,Pat Connaughton,G,Out,Dec 4: Connaughton (calf) is out for Friday's game against the Raptors.,ESPN
CHA,Collin Sexton,G,Out,Dec 4: Sexton has been ruled out for Friday's game in Toronto due to a left thigh strain.,ESPN
CHA,Grant Williams,F,Out,Dec 2: Williams (knee) was spotted participating in the Hornets' morning shootaround prior to Monday's 116-103 loss to the Nets.,ESPN
CHI,Jalen Smith,F,Out,"Dec 5: Smith (hamstring) has been ruled out for Friday's game against the Pacers, Will Gottlieb of AllCHGO.com reports.",ESPN
CHI,Tre Jones,G,Out,"Dec 5: Jones (ankle) will remain on the inactive list for Friday's game versus the Pacers, Will Gottlieb of AllCHGO.com reports.",ESPN
CHI,Isaac Okoro,F,Out,"Dec 5: Okoro (back) has been ruled out for Friday's game against the Pacers, Will Gottlieb of AllCHGO.com reports.",ESPN
CHI,Ayo Dosunmu,G,Out,"Dec 5: Dosunmu (thumb) has been ruled out for Friday's game against the Pacers, Will Gottlieb of AllCHGO.com reports.",ESPN
CHI,Kevin Huerter,G,Out,"Dec 3: Huerter (hamstring) will miss at least one week of action before he's re-evaluated, Will Gottlieb of AllCHGO.com reports.",ESPN
CHI,Noa Essengue,F,Out,"Dec 3: Essengue will undergo left shoulder surgery and will miss the remainder of the 2025-26 season, K.C. Johnson of Chicago Sports Network reports.",ESPN
CLE,Tyrese Proctor,G,Out,Dec 4: Proctor is out for Friday's game against the Spurs for personal reasons.,ESPN
CLE,Sam Merrill,G,Out,Dec 4: Merrill (hand) is out for Friday's game against the Spurs.,ESPN
CLE,Darius Garland,G,Out,Dec 4: Garland (toe) will miss Friday's game against the Spurs.,ESPN
CLE,Max Strus,G,Out,Dec 2: Strus (foot) has been ruled out for Wednesday's game against the Trail Blazers.,ESPN
CLE,Jarrett Allen,C,Out,Nov 30: The Cavaliers announced Sunday that Allen (finger) is expected to miss at least one week.,ESPN
CLE,Larry Nance Jr.,F,Out,Nov 30: An MRI revealed a Grade 1 soleus strain in Nance's right calf and he is expected to miss the next 3-4 weeks of action.,ESPN
DAL,P.J. Washington,F,Out,"Dec 5: Washington (ankle) has been ruled out for Friday's game against the Thunder, Grant Afseth of DallasHoopsJournal.com reports.",ESPN
DAL,Daniel Gafford,F,Out,"Dec 5: Gafford (ankle) has been ruled out for Friday's game against the Thunder, Grant Afseth of DallasHoopsJournal.com reports.",ESPN
DAL,Dereck Lively II,C,Out,"Dec 4: The Mavericks announced Thursday that Lively (foot) has no timetable for a return, Brett Siegel of ClutchPoints.com reports.",ESPN
DAL,Dante Exum,G,Out,Nov 20: The Mavericks announced Thursday that Exum will undergo season-ending knee surgery.,ESPN
DAL,Kyrie Irving,G,Out,"Sep 29: At Media Day on Monday, Mavericks head coach Jason Kidd refuted the report that Irving (knee) is ahead of schedule in his recovery, Christian Clark reports.",ESPN
DEN,Julian Strawther,G,Out,"Dec 1: Strawther (back) remains without a timetable to return, Ryan Blackburn of MileHighSports.com reports.",ESPN
DEN,Aaron Gordon,F,Out,"Nov 23: Gordon (hamstring) will be re-evaluated in four to six weeks, Shams Charania of ESPN reports.",ESPN
DEN,Christian Braun,G,Out,"Nov 14: Christian Braun (ankle) will be re-evaluated in six weeks after suffering a left ankle sprain during Wednesday's win over the Clippers, Shams Charania of ESPN reports.",ESPN
DET,Marcus Sasser,G,Out,"Dec 5: Sasser (hip) is listed as out for Friday's game against Portland, per the official NBA lineups page.",ESPN
DET,Bobi Klintman,F,Out,Dec 5: Klintman (ankle) is out for Friday's game versus the Trail Blazers.,ESPN
GSW,Seth Curry,SG,Day-To-Day,Dec 5: Curry (toe) is questionable for Saturday's game against the Cavaliers.,ESPN
GSW,De'Anthony Melton,G,Day-To-Day,Dec 5: Melton (left knee injury management) is listed as questionable for Saturday's game against Cleveland.,ESPN
GSW,Alex Toohey,F,Out,Dec 5: Toohey (knee) won't play in Saturday's game against the Cavaliers.,ESPN
GSW,Al Horford,C,Out,Dec 5: Horford has been ruled out for Saturday's game against Cleveland due to right sciatic nerve irritation.,ESPN
GSW,Draymond Green,F,Day-To-Day,Dec 5: Green (foot) is listed as questionable for Saturday's game against Cleveland.,ESPN
GSW,Jimmy Butler III,F,Day-To-Day,Dec 5: Butler (knee) is questionable for Saturday's game against Cleveland.,ESPN
GSW,Stephen Curry,G,Out,"Dec 3: Head coach Steve Kerr said after Tuesday's 124-112 loss to the Thunder that Curry (quadriceps) will miss at least three more games, Sam Gordon of the San Francisco Chronicle reports.",ESPN
HOU,Alperen Sengun,C,Out,"Dec 5: Sengun (illness) won't suit up for Friday's game versus the Suns, Vanessa Richardson of Space City Home Network reports.",ESPN
HOU,Tari Eason,F,Out,"Dec 3: Eason (oblique) is targeting a late December return, Michael Shapiro of SI.com reports.",ESPN
HOU,Dorian Finney-Smith,F,Out,"Dec 3: The Rockets are eyeing January for Finney-Smith (ankle) to make his season debut, Michael Shapiro of SI.com reports.",ESPN
HOU,Fred VanVleet,G,Out,"Sep 22: VanVleet suffered a torn ACL and may be out for the entire 2025-26 campaign, Shams Charania of ESPN reports.",ESPN
