team,player,position,status,injury,source
Lakers,JohnsonJalen Johnson,SF,"Wed, Dec 3",Calf,CBS
Lakers,PorzingisKristaps Porzingis,C,"Tue, Dec 2",Illness,CBS
Lakers,ToppinJacob Toppin,SF,"Tue, Dec 2",Shoulder,CBS
Lakers,DanteN'Faly Dante,C,"Tue, Dec 2",Undisclosed,CBS
Lakers,YoungTrae Young,PG,"Sat, Nov 29",Knee,CBS
Lakers,JohnsonJalen Johnson,SF,"Wed, Dec 3",Calf,CBS
Lakers,PorzingisKristaps Porzingis,C,"Tue, Dec 2",Illness,CBS
Lakers,ToppinJacob Toppin,SF,"Tue, Dec 2",Shoulder,CBS
Lakers,DanteN'Faly Dante,C,"Tue, Dec 2",Undisclosed,CBS
Lakers,YoungTrae Young,PG,"Sat, Nov 29",Knee,CBS
Lakers,JohnsonJalen Johnson,SF,"Wed, Dec 3",Calf,CBS
Lakers,PorzingisKristaps Porzingis,C,"Tue, Dec 2",Illness,CBS
Lakers,ToppinJacob Toppin,SF,"Tue, Dec 2",Shoulder,CBS
Lakers,DanteN'Faly Dante,C,"Tue, Dec 2",Undisclosed,CBS
Lakers,YoungTrae Young,PG,"Sat, Nov 29",Knee,CBS
Lakers,JohnsonJalen Johnson,SF,"Wed, Dec 3",Calf,CBS
Lakers,PorzingisKristaps Porzingis,C,"Tue, Dec 2",Illness,CBS
Lakers,ToppinJacob Toppin,SF,"Tue, Dec 2",Shoulder,CBS
Lakers,DanteN'Faly Dante,C,"Tue, Dec 2",Undisclosed,CBS
Lakers,YoungTrae Young,PG,"Sat, Nov 29",Knee,CBS
Lakers,JohnsonJalen Johnson,SF,"Wed, Dec 3",Calf,CBS
Lakers,PorzingisKristaps Porzingis,C,"Tue, Dec 2",Illness,CBS
Lakers,ToppinJacob Toppin,SF,"Tue, Dec 2",Shoulder,CBS
Lakers,DanteN'Faly Dante,C,"Tue, Dec 2",Undisclosed,CBS
Lakers,YoungTrae Young,PG,"Sat, Nov 29",Knee,CBS
Lakers,JohnsonJalen Johnson,SF,"Wed, Dec 3",Calf,CBS
Lakers,PorzingisKristaps Porzingis,C,"Tue, Dec 2",Illness,CBS
Lakers,ToppinJacob Toppin,SF,"Tue, Dec 2",Shoulder,CBS
Lakers,DanteN'Faly Dante,C,"Tue, Dec 2",Undisclosed,CBS
Lakers,YoungTrae Young,PG,"Sat, Nov 29",Knee,CBS
Lakers,JohnsonJalen Johnson,SF,"Wed, Dec 3",Calf,CBS
Lakers,PorzingisKristaps Porzingis,C,"Tue, Dec 2",Illness,CBS
Lakers,ToppinJacob Toppin,SF,"Tue, Dec 2",Shoulder,CBS
Lakers,DanteN'Faly Dante,C,"Tue, Dec 2",Undisclosed,CBS
Lakers,YoungTrae Young,PG,"Sat, Nov 29",Knee,CBS
Lakers,JohnsonJalen Johnson,SF,"Wed, Dec 3",Calf,CBS
Lakers,PorzingisKristaps Porzingis,C,"Tue, Dec 2",Illness,CBS
Lakers,ToppinJacob Toppin,SF,"Tue, Dec 2",Shoulder,CBS
Lakers,DanteN'Faly Dante,C,"Tue, Dec 2",Undisclosed,CBS
Lakers,YoungTrae Young,PG,"Sat, Nov 29",Knee,CBS
Lakers,JohnsonJalen Johnson,SF,"Wed, Dec 3",Calf,CBS
Lakers,PorzingisKristaps Porzingis,C,"Tue, Dec 2",Illness,CBS
Lakers,ToppinJacob Toppin,SF,"Tue, Dec 2",Shoulder,CBS
Lakers,DanteN'Faly Dante,C,"Tue, Dec 2",Undisclosed,CBS
Lakers,YoungTrae Young,PG,"Sat, Nov 29",Knee,CBS
Lakers,JohnsonJalen Johnson,SF,"Wed, Dec 3",Calf,CBS
Lakers,PorzingisKristaps Porzingis,C,"Tue, Dec 2",Illness,CBS
Lakers,ToppinJacob Toppin,SF,"Tue, Dec 2",Shoulder,CBS
Lakers,DanteN'Faly Dante,C,"Tue, Dec 2",Undisclosed,CBS
Lakers,YoungTrae Young,PG,"Sat, Nov 29",Knee,CBS
Lakers,JohnsonJalen Johnson,SF,"Wed, Dec 3",Calf,CBS
Lakers,PorzingisKristaps Porzingis,C,"Tue, Dec 2",Illness,CBS
Lakers,ToppinJacob Toppin,SF,"Tue, Dec 2",Shoulder,CBS
Lakers,DanteN'Faly Dante,C,"Tue, Dec 2",Undisclosed,CBS
Lakers,YoungTrae Young,PG,"Sat, Nov 29",Knee,CBS
Lakers,JohnsonJalen Johnson,SF,"Wed, Dec 3",Calf,CBS
Lakers,PorzingisKristaps Porzingis,C,"Tue, Dec 2",Illness,CBS
Lakers,ToppinJacob Toppin,SF,"Tue, Dec 2",Shoulder,CBS
Lakers,DanteN'Faly Dante,C,"Tue, Dec 2",Undisclosed,CBS
Lakers,YoungTrae Young,PG,"Sat, Nov 29",Knee,CBS
Lakers,JohnsonJalen Johnson,SF,"Wed, Dec 3",Calf,CBS
Lakers,PorzingisKristaps Porzingis,C,"Tue, Dec 2",Illness,CBS
Lakers,ToppinJacob Toppin,SF,"Tue, Dec 2",Shoulder,CBS
Lakers,DanteN'Faly Dante,C,"Tue, Dec 2",Undisclosed,CBS
Lakers,YoungTrae Young,PG,"Sat, Nov 29",Knee,CBS
Lakers,JohnsonJalen Johnson,SF,"Wed, Dec 3",Calf,CBS
Lakers,PorzingisKristaps Porzingis,C,"Tue, Dec 2",Illness,CBS
Lakers,ToppinJacob Toppin,SF,"Tue, Dec 2",Shoulder,CBS
Lakers,DanteN'Faly Dante,C,"Tue, Dec 2",Undisclosed,CBS
Lakers,YoungTrae Young,PG,"Sat, Nov 29",Knee,CBS
Lakers,JohnsonJalen Johnson,SF,"Wed, Dec 3",Calf,CBS
Lakers,PorzingisKristaps Porzingis,C,"Tue, Dec 2",Illness,CBS
Lakers,ToppinJacob Toppin,SF,"Tue, Dec 2",Shoulder,CBS
