team,player,position,status,injury,source
Unknown,N. DanteN'Faly Dante,C,"Tue, Dec 2",Undisclosed,CBS
Unknown,J. ToppinJacob Toppin,SF,"Tue, Dec 2",Shoulder,CBS
Unknown,K. PorzingisKristaps Porzingis,C,"Tue, Dec 2",Illness,CBS
Unknown,T. YoungTrae Young,PG,"Sat, Nov 29",Knee,CBS
Unknown,J. TatumJayson Tatum,PF,"Wed, Oct 1",Achilles,CBS
Unknown,T. MannTerance Mann,SG,"Tue, Dec 2",Ribs,CBS
Unknown,C. ThomasCam Thomas,SG,"Fri, Nov 7",Hamstring,CBS
Unknown,H. HighsmithHaywood Highsmith,SF,"Sun, Oct 19",Knee,CBS
Unknown,T. MannTre Mann,PG,"Tue, Dec 2",Ankle,CBS
Unknown,L. BallLaMelo Ball,PG,"Tue, Dec 2",Wrist,CBS
Unknown,P. ConnaughtonPat Connaughton,SG,"Tue, Dec 2",Calf,CBS
Unknown,B. MillerBrandon Miller,SG,"Tue, Dec 2",Shoulder,CBS
Unknown,J. GreenJosh Green,SF,"Sun, Nov 30",Shoulder,CBS
Unknown,G. WilliamsGrant Williams,PF,"Sun, Nov 30",Knee,CBS
Unknown,I. OkoroIsaac Okoro,SF,"Tue, Dec 2",Back,CBS
Unknown,P. WilliamsPatrick Williams,PF,"Tue, Dec 2",Wrist,CBS
Unknown,Z. CollinsZach Collins,C,"Tue, Dec 2",Wrist,CBS
Unknown,K. HuerterKevin Huerter,SG,"Tue, Dec 2",Hamstring,CBS
Unknown,C. WhiteCoby White,PG,"Tue, Dec 2",Calf,CBS
Unknown,J. SmithJalen Smith,PF,"Tue, Dec 2",Hamstring,CBS
Unknown,T. JonesTre Jones,PG,"Tue, Dec 2",Ankle,CBS
Unknown,L. OlbrichLachlan Olbrich,PF,"Tue, Dec 2",Calf,CBS
Unknown,N. EssengueNoa Essengue,PF,"Tue, Dec 2",Shoulder,CBS
Unknown,J. PhillipsJulian Phillips,SF,"Tue, Dec 2",Illness,CBS
Unknown,D. TerryDalen Terry,SG,"Tue, Dec 2",Calf,CBS
Unknown,M. StrusMax Strus,SG,"Tue, Dec 2",Foot,CBS
Unknown,L. BallLonzo Ball,PG,"Tue, Dec 2",Illness,CBS
Unknown,S. MerrillSam Merrill,SG,"Tue, Dec 2",Hand,CBS
Unknown,L. Nance Jr.Larry Nance Jr.,PF,"Sun, Nov 30",Calf,CBS
Unknown,J. AllenJarrett Allen,C,"Sun, Nov 30",Finger,CBS
Unknown,P. WashingtonPJ Washington,PF,"Tue, Dec 2",Ankle,CBS
Unknown,D. GaffordDaniel Gafford,C,"Tue, Dec 2",Ankle,CBS
Unknown,D. Lively IIDereck Lively II,C,"Tue, Dec 2",Foot,CBS
Unknown,D. ExumDante Exum,SG,"Thu, Nov 20",Knee,CBS
Unknown,K. IrvingKyrie Irving,PG,"Wed, Oct 1",Knee,CBS
Unknown,J. MurrayJamal Murray,PG,"Tue, Dec 2",Ankle,CBS
Unknown,J. StrawtherJulian Strawther,SF,"Tue, Dec 2",Back,CBS
Unknown,N. JokicNikola Jokic,C,"Tue, Dec 2",Wrist,CBS
Unknown,A. GordonAaron Gordon,PF,"Sun, Nov 23",Hamstring,CBS
Unknown,C. BraunChristian Braun,SF,"Fri, Nov 14",Ankle,CBS
Unknown,D. RobinsonDuncan Robinson,SG,"Tue, Dec 2",Ankle,CBS
Unknown,B. KlintmanBobi Klintman,PF,"Tue, Dec 2",Ankle,CBS
Unknown,M. SasserMarcus Sasser,PG,"Mon, Dec 1",Hip,CBS
Unknown,A. HorfordAl Horford,C,"Mon, Dec 1",Back,CBS
Unknown,J. ButlerJimmy Butler,SF,"Mon, Dec 1",Lower Body,CBS
Unknown,D. GreenDraymond Green,PF,"Mon, Dec 1",Foot,CBS
Unknown,A. TooheyAlex Toohey,SF,"Mon, Dec 1",Knee,CBS
Unknown,T. Jackson-DavisTrayce Jackson-Davis,C,"Sun, Nov 30",Knee,CBS
Unknown,D. MeltonDe'Anthony Melton,SG,"Fri, Nov 28",Knee,CBS
Unknown,S. CurryStephen Curry,PG,"Thu, Nov 27",Quadriceps,CBS
Unknown,S. AdamsSteven Adams,C,"Tue, Dec 2",Rest,CBS
Unknown,D. Finney-SmithDorian Finney-Smith,PF,"Mon, Dec 1",Ankle,CBS
Unknown,T. EasonTari Eason,PF,"Sat, Nov 22",Oblique,CBS
Unknown,F. VanVleetFred VanVleet,PG,"Tue, Oct 21",Knee,CBS
Unknown,J. FurphyJohnny Furphy,SG,"Tue, Dec 2",Ankle,CBS
Unknown,K. JonesKam Jones,PG,"Sun, Nov 30",Back,CBS
Unknown,Q. JacksonQuenton Jackson,SG,"Sun, Nov 30",Hamstring,CBS
