team,player,position,status,injury,source
Atlanta Hawks,Jalen Johnson,F,Out,"Dec 3: Johnson (calf) won't play Wednesday against the Clippers, Kevin Chouinard of the Hawks' official site reports.",ESPN
Atlanta Hawks,Jacob Toppin,F,Out,"Dec 2: Toppin (shoulder) has been ruled out for Wednesday's game against the Clippers, Brad Rowland of the Locked On Podcast Network reports.",ESPN
Atlanta Hawks,Kristaps Porzingis,C,Out,"Dec 2: Porzingis is out for Wednesday's game against the Clippers with an illness, Brad Rowland of the Locked On Podcast Networkreports.",ESPN
Atlanta Hawks,N'Faly Dante,C,Day-To-Day,Dec 2: Dante (knee) is out for Sunday's game against the 76ers.,ESPN
Atlanta Hawks,Trae Young,G,Out,"Nov 29: Young (knee) will be re-evaluated by the Hawks' medical staff in two weeks, Ohm Youngmisuk of ESPN.com reports.",ESPN
Boston Celtics,Jaylen Brown,G,Day-To-Day,"Dec 3: Brown (illness) is doubtful for Thursday's game against the Wizards, per NBA reporter Marc Stein.",ESPN
Boston Celtics,Jayson Tatum,F,Out,"Oct 9: The Celtics have not ruled Tatum (Achilles) out for the 2025-26 season, ESPN's Shams Charania reported on the Pat McAfee Show on Thursday.",ESPN
Brooklyn Nets,Terance Mann,G,Out,"Dec 2: Mann (ribs) has been ruled out for Wednesday's game against the Bulls, Erik Slater of ClutchPoints.com reports.",ESPN
Brooklyn Nets,Cam Thomas,G,Out,"Nov 7: Thomas has been diagnosed with a left hamstring strain and he will be re-evaluated in 3-4 weeks, Marc J. Spears of ESPN.com reports.",ESPN
Brooklyn Nets,Haywood Highsmith,F,Out,"Oct 19: Highsmith (knee) experienced swelling during rehab and will re-evaluated in eight weeks, Brett Siegel of ClutchPoints.com reports.",ESPN
Charlotte Hornets,Ryan Kalkbrenner,C,Day-To-Day,Dec 3: Hornets coach Charles Lee said Kalkbrenner sprained his left ankle during Wednesday's 119-104 loss to the Knicks.,ESPN
Charlotte Hornets,Collin Sexton,G,Day-To-Day,Dec 3: Sexton won't return to Wednesday's game against the Knicks due to a left knee contusion.,ESPN
Charlotte Hornets,Pat Connaughton,G,Out,Dec 2: Connaughton (calf) is out for Wednesday's game against the Knicks.,ESPN
Charlotte Hornets,Tre Mann,G,Out,Dec 2: Mann (ankle) is out for Wednesday's game against the Knicks.,ESPN
Charlotte Hornets,Brandon Miller,F,Out,Dec 2: Miller (shoulder) is out  for Wednesday's game against the Knicks.,ESPN
Charlotte Hornets,Grant Williams,F,Out,Dec 2: Williams (knee) was spotted participating in the Hornets' morning shootaround prior to Monday's 116-103 loss to the Nets.,ESPN
Charlotte Hornets,Josh Green,G,Out,"Dec 2: Charlotte assigned Green (shoulder) to the G League's Greensboro Swarm on Tuesday, Roderick Boone of The Charlotte Observer reports.",ESPN
Chicago Bulls,Kevin Huerter,G,Out,"Dec 3: Huerter (hamstring) will miss at least one week of action before he's re-evaluated, Will Gottlieb of AllCHGO.com reports.",ESPN
Chicago Bulls,Isaac Okoro,F,Out,"Dec 3: Okoro (back) won't play in Wednesday's game against Brooklyn, K.C. Johnson of Chicago Sports Network reports.",ESPN
Chicago Bulls,Zach Collins,F,Out,"Dec 3: Collins (wrist) has been ruled out for Wednesday's game versus the Nets, K.C. Johnson of Chicago Sports Network reports.",ESPN
Chicago Bulls,Jalen Smith,F,Out,"Dec 3: Smith (hamstring) won't play in Wednesday's game against Brooklyn, K.C. Johnson of Chicago Sports Network reports.",ESPN
Chicago Bulls,Tre Jones,G,Out,"Dec 3: Jones (ankle) has been ruled out for Wednesday's game versus the Nets, K.C. Johnson of Chicago Sports Network reports.",ESPN
Chicago Bulls,Noa Essengue,F,Out,"Dec 3: Essengue will undergo left shoulder surgery and will miss the remainder of the 2025-26 season, K.C. Johnson of Chicago Sports Network reports.",ESPN
Chicago Bulls,Coby White,G,Out,Dec 2: White (calf) is out  for Wednesday's game against the Nets.,ESPN
Cleveland Cavaliers,Sam Merrill,G,Out,Dec 2: Merrill (hand) has been ruled out for Wednesday's game against the Trail Blazers.,ESPN
Cleveland Cavaliers,Max Strus,G,Out,Dec 2: Strus (foot) has been ruled out for Wednesday's game against the Trail Blazers.,ESPN
